sampleID	feature-id	time_point	collection_status	species	depth	treatment	Transp_To	Tag#	Tag_Code	Tag_Code2	Tag_Color
USVI-8	USVI-8_S227	one	initial	O. faveolata	Shallow	Shallow	S	60	B60	B60F	Blue
USVI-80	USVI-80_S121	one	initial	O. franksi	Deep	Deep	D	46	B46*	B46K	Blue
USVI-81	USVI-81_S122	one	initial	O. franksi	Deep	Deep	D	51	B51*	B51K	Blue
USVI-82	USVI-82_S123	one	initial	O. franksi	Deep	Deep	D	56	B56*	B56K	Blue
USVI-83	USVI-83_S124	one	initial	O. franksi	Deep	Deep	D	61	B61*	B61K	Blue
USVI-84	USVI-84_S125	one	initial	O. franksi	Deep	Deep	D	66	B66*	B66K	Blue
USVI-85	USVI-85_S126	one	initial	O. franksi	Deep	Deep	D	71	B71*	B71K	Blue
USVI-86	USVI-86_S127	one	initial	O. franksi	Deep	Deep	D	76	B76*	B76K	Blue
USVI-87	USVI-87_S128	one	initial	O. franksi	Deep	Deep	D	81	B81*	B81K	Blue
USVI-88	USVI-88_S158	one	initial	O. franksi	Deep	Deep	D	86	B86*	B86K	Blue
USVI-89	USVI-89_S129	one	initial	O. franksi	Deep	Deep	D	91	B91*	B91K	Blue
USVI-9	USVI-9_S192	one	initial	O. faveolata	Shallow	Shallow	S	nn	Onn	OnnF	Orange
USVI-90	USVI-90_S130	one	initial	O. franksi	Deep	Deep	D	96	B96*	B96K	Blue
USVI-91	USVI-91_S131	one	initial	O. franksi	Deep	Deep	D	1	O1*	O1K	Orange
USVI-92	USVI-92_S132	one	initial	O. franksi	Deep	Deep	D	6	O6*	O6K	Orange
USVI-93	USVI-93_S133	one	initial	O. franksi	Deep	Deep	D	11	O11*	O11K	Orange
USVI-94	USVI-94_S134	one	initial	O. franksi	Deep	Deep	D	16	O16*	O16K	Orange
USVI-95	USVI-95_S135	one	initial	O. franksi	Deep	Deep	D	21	O21*	O21K	Orange
USVI-96	USVI-96_S136	one	initial	O. franksi	Deep	Deep	D	26	O26*	O26K	Orange
USVI-97	USVI-97_S137	one	initial	O. franksi	Deep	Deep	D	31	O31*	O31K	Orange
USVI-98	USVI-98_S138	one	initial	O. franksi	Deep	Deep	D	36	O36*	O36K	Orange
USVI-99	USVI-99_S139	one	initial	O. franksi	Deep	Deep	D	41	O41*	O41K	Orange
USVI-116	USVI-116_S36	two	control	O. franksi	Deep	Deep_Deep	D_D	17	B17*	B17K	Blue
USVI-140	USVI-140_S49	two	control	O. franksi	Deep	Deep_Deep	D_D	27	Y27*	Y27K	Yellow
USVI-143	USVI-143_S52	two	control	O. franksi	Deep	Deep_Deep	D_D	2	Y2*	Y2K	Yellow
USVI-144	USVI-144_S53	two	control	O. franksi	Deep	Deep_Deep	D_D	8	Y8*	Y8K	Yellow
USVI-145	USVI-145_S54	two	control	O. franksi	Deep	Deep_Deep	D_D	13	Y13*	Y13K	Yellow
USVI-146	USVI-146_S153	two	control	O. franksi	Deep	Deep_Deep	D_D	17	Y17*	Y17K	Yellow
USVI-147	USVI-147_S154	two	control	O. franksi	Deep	Deep_Deep	D_D	22	Y22*	Y22K	Yellow
USVI-148	USVI-148_S155	two	control	O. franksi	Deep	Deep_Deep	D_D	32	Y32*	Y32K	Yellow
USVI-149	USVI-149_S156	two	control	O. franksi	Deep	Deep_Deep	D_D	47	Y47*	Y47K	Yellow
USVI-150	USVI-150_S157	two	control	O. franksi	Deep	Deep_Deep	D_D	52	Y52*	Y52K	Yellow
USVI-151	USVI-151_S55	two	control	O. franksi	Deep	Deep_Deep	D_D	57	Y57*	Y57K	Yellow
USVI-152	USVI-152_S56	two	control	O. franksi	Deep	Deep_Deep	D_D	73	Y73*	Y73K	Yellow
USVI-153	USVI-153_S57	two	control	O. franksi	Deep	Deep_Deep	D_D	82	Y82*	Y82K	Yellow
USVI-154	USVI-154_S58	two	control	O. franksi	Deep	Deep_Deep	D_D	87	Y87*	Y87K	Yellow
USVI-155	USVI-155_S59	two	control	O. franksi	Deep	Deep_Deep	D_D	15	B15*	B15K	Blue
USVI-156	USVI-156_S158	two	control	O. franksi	Deep	Deep_Deep	D_D	99	Y99*	Y99K	Yellow
USVI-157	USVI-157_S60	two	control	O. franksi	Deep	Deep_Deep	D_D	2	B2*	B2K	Blue
USVI-158	USVI-158_S159	two	control	O. franksi	Deep	Deep_Deep	D_D	18	B18*	B18K	Blue
USVI-159	USVI-159_S61	two	control	O. franksi	Deep	Deep_Deep	D_D	23	B23*	B23K	Blue
USVI-160	USVI-160_S62	two	control	O. franksi	Deep	Deep_Deep	D_D	43	B43*	B43K	Blue
USVI-161	USVI-161_S63	two	control	O. franksi	Deep	Deep_Deep	D_D	47	B47*	B47K	Blue
USVI-162	USVI-162_S160	two	control	O. franksi	Deep	Deep_Deep	D_D	52	B52*	B52K	Blue
USVI-163	USVI-163_S64	two	control	O. franksi	Deep	Deep_Deep	D_D	58	B58*	B58K	Blue
USVI-164	USVI-164_S161	two	control	O. franksi	Deep	Deep_Deep	D_D	72	B72*	B72K	Blue
USVI-165	USVI-165_S65	two	control	O. franksi	Deep	Deep_Deep	D_D	82	B82*	B82K	Blue
USVI-167	USVI-167_S163	two	control	O. franksi	Deep	Deep_Deep	D_D	93	B93*	B93K	Blue
USVI-168	USVI-168_S164	two	control	O. franksi	Deep	Deep_Deep	D_D	2	O2*	O2K	Orange
USVI-169	USVI-169_S66	two	control	O. franksi	Deep	Deep_Deep	D_D	8	O8*	O8K	Orange
USVI-170	USVI-170_S67	two	control	O. franksi	Deep	Deep_Deep	D_D	13	O13*	O13K	Orange
USVI-171	USVI-171_S165	two	control	O. franksi	Deep	Deep_Deep	D_D	18	O18*	O18K	Orange
USVI-172	USVI-172_S166	two	control	O. franksi	Deep	Deep_Deep	D_D	27	O27*	O27K	Orange
USVI-173	USVI-173_S167	two	control	O. franksi	Deep	Deep_Deep	D_D	33	O33*	O33K	Orange
USVI-174	USVI-174_S168	two	control	O. franksi	Deep	Deep_Deep	D_D	37	O37*	O37K	Orange
USVI-175	USVI-175_S169	two	control	O. franksi	Deep	Deep_Deep	D_D	42	O42*	O42K	Orange
USVI-216	USVI-216_S190	two	control	O. franksi	Deep	Deep_Deep	D_D	89	B89*	B89K	Blue
USVI-221	USVI-221_S84	two	control	O. franksi	Deep	Deep_Deep	D_D	32	B32*	B32K	Blue
USVI-222	USVI-222_S85	two	control	O. franksi	Deep	Deep_Deep	D_D	28	B28*	B28K	Blue
USVI-223	USVI-223_S86	two	control	O. franksi	Deep	Deep_Deep	D_D	47	O47*	O47K	Orange
USVI-224	USVI-224_S192	two	control	O. franksi	Deep	Deep_Deep	D_D	62	B62*	B62K	Blue
USVI-225	USVI-225_S193	two	control	O. franksi	Deep	Deep_Deep	D_D	78	Y78*	Y78K	Yellow
USVI-233	USVI-233_S89	two	control	O. franksi	Deep	Deep_Deep	D_D	8	B8*	B8K	Blue
USVI-238	USVI-238_S200	two	control	O. franksi	Deep	Deep_Deep	D_D	68	B68*	B68K	Blue
USVI-139	USVI-139_S152	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	4	B4*	B4K	Blue
USVI-176	USVI-176_S170	two	transplant	O. franksi	Shallow	Deep_Shallow	D_S	3	Y3*	Y3K	Yellow
